question,answer
How many people were infected?,"Approximately 30,000 people were infected via contaminated blood or blood products in the UK."
How many deaths occurred?,"Estimated deaths attributable to infected blood are around 3,000."
Which viruses were involved?,"HIV, Hepatitis B, Hepatitis C, and vCJD were transmitted through infected blood or blood products."
Who is eligible for compensation?,"Living infected, affected family members, estates of deceased victims, and carers are eligible for IBCA compensation."
What documentation is required to claim?,"Proof of infection (medical records), IBSS or NHS documentation, proof of relationship for family members, and death certificate for estates."
What is IBCA?,"The Infected Blood Compensation Authority administers payments to eligible claimants according to published tariffs and supplementary awards."
What is the difference between core and supplementary awards?,"Core awards are fixed tariffs for injury, social impact, autonomy, care, or financial loss. Supplementary awards cover exceptional loss or severe health conditions."
Can carers claim compensation?,"Yes, carers can claim for care provided where evidence of dependency is documented."
How is financial loss calculated?,"Financial loss awards are calculated based on documented past earnings, loss of work, and income replacement."
Are interim payments available?,"Yes, interim payments can be issued to provide immediate support while the claim is processed."
Is there a time limit to apply?,"Claims must be made in accordance with IBCA guidance; there are specific deadlines depending on the type of claim."
Can family members claim if the infected person has died?,"Yes, eligible family members can claim, and estates of deceased victims can also apply."
What is the Infected Blood Support Scheme (IBSS)?,"IBSS provides ongoing financial support to individuals infected by contaminated blood products prior to IBCA compensation."
Are children eligible for claims?,"Yes, children who were infected or affected as dependents may be eligible for compensation."
Are siblings eligible for compensation?,"Siblings may be eligible under specific dependency rules, particularly if co-residing or would have co-resided."
Can parents claim for deceased children?,"Yes, parents of deceased infected children can claim compensation for estate and loss."
What are typical core award amounts for Hepatitis C?,"Core awards range from £60,000 for chronic Hepatitis C to over £120,000 for cirrhosis or severe disease."
What are typical core award amounts for HIV?,"Core awards range from £80,000 to £100,000 depending on severity and impact."
How are past financial losses included?,"Past financial losses are added based on documented lost earnings or inability to work due to infection."
How are care awards calculated?,"Care awards are based on the number of hours of care provided and their intensity, verified by medical or social documentation."
Is there a limit to the total compensation?,"No fixed cap exists; awards combine core, supplementary, financial loss, and care components."
Can someone apply if they have multiple infections?,"Yes, multiple infections can be combined into a single claim, with awards calculated accordingly."
What is the process for estates of deceased claimants?,"The executor or personal representative submits documentation including death certificate, proof of infection, and evidence of losses."
Are interim payments deducted from final awards?,"Yes, interim payments are offset against the final award to prevent duplication."
How long does the IBCA process take?,"Processing times vary, but typical claims may take several months depending on complexity."
Where can I find official guidance?,"Official guidance is available at https://www.gov.uk/government/organisations/infected-blood-compensation-authority."
Is there support for non-UK residents?,"Eligibility is generally restricted to UK residents or those who received contaminated blood in the UK."
Can legal representatives submit claims?,"Yes, claims can be submitted via solicitors or authorized representatives."
Are mental health impacts compensated?,"Yes, social impact and autonomy awards may reflect psychological distress caused by infection."
Do awards consider existing IBSS payments?,"Yes, existing IBSS payments are considered and may be offset in final award calculations."
Can estates claim for loss of support to family?,"Yes, estates may claim for financial dependency loss to surviving family members."
Is proof of cohabitation required for partners?,"Yes, evidence of cohabitation or marriage is required to claim as an affected partner."
Are bereavement awards available?,"Yes, certain awards exist for dependent bereavement, particularly for children or spouses."
Can children of deceased claim independently?,"Yes, under 18s or dependent children can claim through a guardian or personal representative."
What are autonomy awards?,"Autonomy awards compensate for limitations on daily living activities and independence due to infection."
What is the social impact award?,"Social impact awards reflect disruption to social life, relationships, and lifestyle caused by the infection."
Are there different awards for chronic vs severe disease?,"Yes, chronic infections have lower tariffs, while cirrhosis, severe HIV, or multiple conditions have higher awards."
How are Hepatitis B cases compensated?,"Hepatitis B compensation is assessed based on severity, chronicity, and social impact similar to Hepatitis C."
What is vCJD compensation like?,"vCJD cases are rare but typically receive high care and injury awards due to severity and fatality."
Can multiple family members claim separately?,"Yes, multiple eligible family members can claim based on their relationship and dependency."
